linesolver
iteration 62: energy = 21201.353168 = 21201.353164, xb = 21202.010711, voltage energy = 21203.532484, gap = 0.8642259259067941
iteration 63: energy = 21201.255410 = 21201.255405, xb = 21202.785057, voltage energy = 21205.737385, gap = 1.4226772964539123
iteration 64: energy = 21201.156929 = 21201.156925, xb = 21198.601178, voltage energy = 21196.653329, gap = 0.6078976722128573
iteration 65: energy = 21201.099586 = 21201.099582, xb = 21199.769481, voltage energy = 21198.970753, gap = 0.5313742654252565
iteration 66: energy = 21201.012313 = 21201.012309, xb = 21200.920039, voltage energy = 21201.268151, gap = 0.4403817524325859
iteration 67: energy = 21200.964354 = 21200.964350, xb = 21200.584821, voltage energy = 21200.593933, gap = 0.3886411124149163
iteration 68: energy = 21200.748145 = 21200.748141, xb = 21200.693569, voltage energy = 21200.802923, gap = 0.1639263853139710
iteration 69: energy = 21200.730466 = 21200.730461, xb = 21200.691741, voltage energy = 21200.796818, gap = 0.1437978576359455
iteration 70: energy = 21200.715964 = 21200.715959, xb = 21200.789509, voltage energy = 21200.985525, gap = 0.1224667282804148
iteration 71: energy = 21200.703974 = 21200.703969, xb = 21201.003031, voltage energy = 21201.414328, gap = 0.1122345453914022
iteration 72: energy = 21200.697714 = 21200.697708, xb = 21200.904574, voltage energy = 21201.212026, gap = 0.1005858311000338
iteration 73: energy = 21200.689753 = 21200.689747, xb = 21200.721002, voltage energy = 21200.843831, gap = 0.0915743637342530
iteration 74: energy = 21200.684391 = 21200.684385, xb = 21200.691469, voltage energy = 21200.784210, gap = 0.0856568827330193
iteration 75: energy = 21200.680893 = 21200.680887, xb = 21200.328361, voltage energy = 21200.057018, gap = 0.0811832188883272
iteration 76: energy = 21200.678039 = 21200.678033, xb = 21200.635031, voltage energy = 21200.669646, gap = 0.0776176670478890
iteration 77: energy = 21200.674982 = 21200.674976, xb = 21201.135719, voltage energy = 21201.671507, gap = 0.0750448934268206
iteration 78: energy = 21200.627200 = 21200.627194, xb = 21200.713212, voltage energy = 21200.826011, gap = 0.0267815398328821
iteration 79: energy = 21200.625318 = 21200.625311, xb = 21200.765242, voltage energy = 21200.929466, gap = 0.0242931363500247
iteration 80: energy = 21200.624404 = 21200.624397, xb = 21200.852420, voltage energy = 21201.104267, gap = 0.0238253888783220
iteration 81: energy = 21200.621529 = 21200.621522, xb = 21200.415746, voltage energy = 21200.230037, gap = 0.0200664907897590
iteration 82: energy = 21200.620904 = 21200.620897, xb = 21200.678370, voltage energy = 21200.754880, gap = 0.0190354751721316
iteration 83: energy = 21200.620071 = 21200.620063, xb = 21200.652355, voltage energy = 21200.703048, gap = 0.0184004216207541
iteration 84: energy = 21200.619795 = 21200.619787, xb = 21200.523212, voltage energy = 21200.444394, gap = 0.0177577968424885
iteration 85: energy = 21200.619586 = 21200.619577, xb = 21200.507860, voltage energy = 21200.413642, gap = 0.0174991965832305
iteration 86: energy = 21200.619360 = 21200.619351, xb = 21200.559101, voltage energy = 21200.516146, gap = 0.0172948090730642
iteration 87: energy = 21200.619229 = 21200.619219, xb = 21200.609605, voltage energy = 21200.617116, gap = 0.0171248727783677
iteration 88: energy = 21200.619128 = 21200.619118, xb = 21200.588618, voltage energy = 21200.575053, gap = 0.0169336182370898
iteration 89: energy = 21200.619039 = 21200.619028, xb = 21200.580290, voltage energy = 21200.558396, gap = 0.0168445721974422
iteration 90: energy = 21200.618978 = 21200.618966, xb = 21200.572955, voltage energy = 21200.544004, gap = 0.0170615144124895
iteration 91: energy = 21200.607335 = 21200.607323, xb = 21200.618753, voltage energy = 21200.635477, gap = 0.0052943443770346
iteration 92: energy = 21200.604163 = 21200.604151, xb = 21200.586173, voltage energy = 21200.570164, gap = 0.0019696337003552
iteration 93: energy = 21200.603616 = 21200.603603, xb = 21200.593674, voltage energy = 21200.585216, gap = 0.0014697675651405
iteration 94: energy = 21200.603471 = 21200.603457, xb = 21200.601996, voltage energy = 21200.601766, gap = 0.0012304437441344
iteration 95: energy = 21200.603441 = 21200.603426, xb = 21200.590569, voltage energy = 21200.578890, gap = 0.0011779804299294
iteration 96: energy = 21200.602469 = 21200.602454, xb = 21200.563229, voltage energy = 21200.524223, gap = 0.0002206838616985
iteration 97: energy = 21200.602451 = 21200.602436, xb = 21200.590820, voltage energy = 21200.579387, gap = 0.0001833426103985
iteration 98: energy = 21200.602435 = 21200.602419, xb = 21200.583912, voltage energy = 21200.565575, gap = 0.0001706927796477
iteration 99: energy = 21200.602397 = 21200.602381, xb = 21200.607174, voltage energy = 21200.612091, gap = 0.0001232374852407
iteration 100: energy = 21200.602335 = 21200.602319, xb = 21200.620047, voltage energy = 21200.637845, gap = 0.0000696917450114
iteration 101: energy = 21200.602305 = 21200.602289, xb = 21200.599892, voltage energy = 21200.597529, gap = 0.0000332290437655
iteration 102: energy = 21200.602299 = 21200.602282, xb = 21200.605760, voltage energy = 21200.609258, gap = 0.0000213146377064
iteration 103: energy = 21200.602295 = 21200.602278, xb = 21200.599678, voltage energy = 21200.597095, gap = 0.0000169708255271
iteration 104: energy = 21200.602293 = 21200.602276, xb = 21200.597850, voltage energy = 21200.593437, gap = 0.0000139158109960
iteration 105: energy = 21200.602291 = 21200.602274, xb = 21200.608896, voltage energy = 21200.615530, gap = 0.0000105614708446
iteration 106: energy = 21200.602287 = 21200.602269, xb = 21200.601818, voltage energy = 21200.601372, gap = 0.0000057569122873
iteration 107: energy = 21200.602286 = 21200.602269, xb = 21200.609667, voltage energy = 21200.617071, gap = 0.0000056244498410
iteration 108: energy = 21200.602285 = 21200.602268, xb = 21200.600781, voltage energy = 21200.599298, gap = 0.0000037309619074
iteration 109: energy = 21200.602284 = 21200.602266, xb = 21200.602571, voltage energy = 21200.602878, gap = 0.0000022559506760
iteration 110: energy = 21200.602284 = 21200.602266, xb = 21200.599073, voltage energy = 21200.595883, gap = 0.0000030230876291
iteration 111: energy = 21200.602283 = 21200.602266, xb = 21200.603586, voltage energy = 21200.604907, gap = 0.0000014419310901
iteration 112: energy = 21200.602283 = 21200.602266, xb = 21200.600959, voltage energy = 21200.599653, gap = 0.0000011090851331
iteration 113: energy = 21200.602283 = 21200.602265, xb = 21200.596780, voltage energy = 21200.591296, gap = 0.0000010571093298
iteration 114: energy = 21200.602283 = 21200.602265, xb = 21200.598780, voltage energy = 21200.595295, gap = 0.0000006239570212
iteration 115: energy = 21200.602283 = 21200.602265, xb = 21200.600982, voltage energy = 21200.599700, gap = 0.0000005505753506
iteration 116: energy = 21200.602283 = 21200.602265, xb = 21200.601526, voltage energy = 21200.600787, gap = 0.0000003533568815
iteration 117: energy = 21200.602283 = 21200.602265, xb = 21200.602225, voltage energy = 21200.602186, gap = 0.0000002835149644
iteration 118: energy = 21200.602282 = 21200.602265, xb = 21200.603530, voltage energy = 21200.604795, gap = 0.0000002033339115
linesolver
iteration 1: energy = 24773317.113010 = 24773317.113008, xb = 37329.436671, voltage energy = 17955080.439341, gap = 42653738.6790077686309814
iteration 2: energy = 18930942.304161 = 18930942.304162, xb = 24657.684700, voltage energy = 2086699.496835, gap = 20968326.4315976575016975
iteration 3: energy = 13064638.461650 = 13064638.461652, xb = 23760.756199, voltage energy = 3721390.259815, gap = 16738507.2090699635446072
iteration 4: energy = 9438183.205684 = 9438183.205685, xb = 13552.173740, voltage energy = 1076282.761674, gap = 10487361.6198783572763205
iteration 5: energy = 7610073.149979 = 7610073.149979, xb = 20227.830251, voltage energy = 621199.352195, gap = 8190816.8416711464524269
iteration 6: energy = 5854564.529192 = 5854564.529190, xb = 23220.702179, voltage energy = 5582213.781199, gap = 11390336.9060321077704430
iteration 7: energy = 4819383.227263 = 4819383.227261, xb = 3606.195769, voltage energy = 2582257.024846, gap = 7394427.8605697732418776
iteration 8: energy = 4106552.247070 = 4106552.247067, xb = 23163.021113, voltage energy = 604149.783164, gap = 4664375.9880045335739851
iteration 9: energy = 3151200.126128 = 3151200.126125, xb = 20936.039442, voltage energy = 231671.912515, gap = 3340999.9597558504901826
iteration 10: energy = 2310894.136937 = 2310894.136934, xb = 16848.692550, voltage energy = 189426.302635, gap = 2466623.0544691141694784
iteration 11: energy = 2058127.988242 = 2058127.988239, xb = 20649.887215, voltage energy = 138112.988460, gap = 2154941.2022698493674397
iteration 12: energy = 1328793.209923 = 1328793.209920, xb = 17748.766584, voltage energy = 2312010.071228, gap = 3605305.7479809187352657
iteration 13: energy = 860536.418271 = 860536.418268, xb = 21475.743302, voltage energy = 129263.429844, gap = 946848.3615067361388355
iteration 14: energy = 680386.730566 = 680386.730562, xb = 24609.811441, voltage energy = 180236.467106, gap = 811403.5747867842437699
iteration 15: energy = 492545.647082 = 492545.647079, xb = 21948.369174, voltage energy = 62080.819158, gap = 510729.7278888594009914
iteration 16: energy = 406966.663256 = 406966.663252, xb = 19294.184822, voltage energy = 57428.543916, gap = 425806.8375250913086347
iteration 17: energy = 362959.962025 = 362959.962022, xb = 19030.768024, voltage energy = 71819.182836, gap = 396717.6088100573397242
iteration 18: energy = 189804.734189 = 189804.734185, xb = 21442.252955, voltage energy = 45793.698728, gap = 192713.9270042697608005
iteration 19: energy = 154205.104815 = 154205.104811, xb = 20890.540304, voltage energy = 35573.417937, gap = 147997.4421404029708356
iteration 20: energy = 124904.381814 = 124904.381810, xb = 21133.517055, voltage energy = 31933.271210, gap = 114570.6189106518577319
iteration 21: energy = 104453.479954 = 104453.479951, xb = 21813.597787, voltage energy = 32836.857553, gap = 93663.1419306078460068
iteration 22: energy = 73061.708069 = 73061.708066, xb = 20902.534599, voltage energy = 28623.074832, gap = 59879.7136998171990854
iteration 23: energy = 62362.963829 = 62362.963825, xb = 23042.358359, voltage energy = 90557.922490, gap = 106836.1695980686054099
iteration 24: energy = 49227.797525 = 49227.797521, xb = 21359.374533, voltage energy = 26628.537329, gap = 33137.5857835529386648
iteration 25: energy = 44681.396652 = 44681.396648, xb = 20735.703910, voltage energy = 22755.600180, gap = 25965.5890078987322340
iteration 26: energy = 41698.960214 = 41698.960210, xb = 21030.309049, voltage energy = 22739.242496, gap = 22377.5846081473209779
iteration 27: energy = 35342.696730 = 35342.696726, xb = 21092.954971, voltage energy = 22909.492789, gap = 16066.2795732606064121
iteration 28: energy = 31890.208238 = 31890.208235, xb = 21489.183737, voltage energy = 23304.458867, gap = 12216.2996284288783500
iteration 29: energy = 28254.710542 = 28254.710539, xb = 20817.070028, voltage energy = 21276.327287, gap = 7896.8977699484312325
iteration 30: energy = 25625.491922 = 25625.491919, xb = 21221.288509, voltage energy = 21900.588772, gap = 5083.5036723515258927
iteration 31: energy = 24417.281680 = 24417.281677, xb = 21592.577827, voltage energy = 23345.589294, gap = 4577.7153167895485240
iteration 32: energy = 23634.564804 = 23634.564801, xb = 21065.369030, voltage energy = 21654.146465, gap = 3157.9732067857366928
iteration 33: energy = 22843.632812 = 22843.632808, xb = 21264.962307, voltage energy = 21548.300650, gap = 1862.0088447485213692
iteration 34: energy = 22505.919972 = 22505.919968, xb = 21156.601438, voltage energy = 21302.497116, gap = 1495.2142071507114451
iteration 35: energy = 22170.274478 = 22170.274474, xb = 21134.768221, voltage energy = 21229.045490, gap = 1129.7835218070977135
iteration 36: energy = 22006.898833 = 22006.898829, xb = 21173.031059, voltage energy = 21287.330548, gap = 948.1672596740900190
iteration 37: energy = 21823.334841 = 21823.334837, xb = 21200.439141, voltage energy = 21390.755990, gap = 813.2125456321264210
iteration 38: energy = 21664.368529 = 21664.368526, xb = 21223.872874, voltage energy = 21633.227108, gap = 849.8498866626796371
iteration 39: energy = 21573.994242 = 21573.994238, xb = 21200.998537, voltage energy = 21259.282788, gap = 431.2799531269993167
iteration 40: energy = 21460.362240 = 21460.362236, xb = 21239.747985, voltage energy = 21329.293072, gap = 310.1593380802114552
iteration 41: energy = 21412.047785 = 21412.047781, xb = 21196.595623, voltage energy = 21248.026937, gap = 266.8834717054414796
iteration 42: energy = 21336.365662 = 21336.365659, xb = 21191.446478, voltage energy = 21198.761185, gap = 152.2338877395886811
iteration 43: energy = 21304.840796 = 21304.840792, xb = 21192.228874, voltage energy = 21200.515345, gap = 120.8983883435212192
iteration 44: energy = 21274.910463 = 21274.910460, xb = 21209.879001, voltage energy = 21231.219846, gap = 86.3723050540356780
iteration 45: energy = 21256.712388 = 21256.712385, xb = 21161.352400, voltage energy = 21148.072949, gap = 82.0805337807178148
iteration 46: energy = 21241.331271 = 21241.331267, xb = 21189.830103, voltage energy = 21188.000110, gap = 49.6711719423110480
iteration 47: energy = 21230.881101 = 21230.881097, xb = 21205.438458, voltage energy = 21216.372509, gap = 36.3766891262275749
iteration 48: energy = 21225.826939 = 21225.826936, xb = 21186.875032, voltage energy = 21179.069628, gap = 31.1465003491684911
iteration 49: energy = 21221.802865 = 21221.802861, xb = 21197.517799, voltage energy = 21197.399183, gap = 24.1664460712127038
iteration 50: energy = 21218.733731 = 21218.733727, xb = 21192.027926, voltage energy = 21185.559372, gap = 20.2372466971137328
iteration 51: energy = 21212.744683 = 21212.744680, xb = 21203.117410, voltage energy = 21207.812916, gap = 14.3227756375235913
iteration 52: energy = 21208.318848 = 21208.318845, xb = 21203.876098, voltage energy = 21209.718123, gap = 10.2847719156052335
iteration 53: energy = 21206.972194 = 21206.972190, xb = 21200.269816, voltage energy = 21202.133095, gap = 8.5656529963307548
iteration 54: energy = 21205.864357 = 21205.864353, xb = 21200.512857, voltage energy = 21201.629398, gap = 6.4680370821770339
iteration 55: energy = 21204.981411 = 21204.981407, xb = 21201.773059, voltage energy = 21204.403139, gap = 5.8384284659841796
iteration 56: energy = 21203.730411 = 21203.730408, xb = 21208.152283, voltage energy = 21216.117685, gap = 3.5435279606936092
iteration 57: energy = 21203.249291 = 21203.249287, xb = 21199.162320, voltage energy = 21198.076564, gap = 3.0012103755252610
iteration 58: energy = 21202.799089 = 21202.799086, xb = 21198.100489, voltage energy = 21195.803098, gap = 2.4012056855935953
iteration 59: energy = 21201.919761 = 21201.919757, xb = 21201.916911, voltage energy = 21203.491207, gap = 1.5771421556382847
iteration 60: energy = 21201.733197 = 21201.733194, xb = 21200.664504, voltage energy = 21200.856620, gap = 1.2608062149156467
iteration 61: energy = 21201.547312 = 21201.547308, xb = 21196.376559, voltage energy = 21192.329190, gap = 1.1233806488999107
iteration 62: energy = 21201.353168 = 21201.353164, xb = 21202.010711, voltage energy = 21203.532484, gap = 0.8642259259067941
iteration 63: energy = 21201.255410 = 21201.255405, xb = 21202.785057, voltage energy = 21205.737385, gap = 1.4226772964539123
iteration 64: energy = 21201.156929 = 21201.156925, xb = 21198.601178, voltage energy = 21196.653329, gap = 0.6078976722128573
iteration 65: energy = 21201.099586 = 21201.099582, xb = 21199.769481, voltage energy = 21198.970753, gap = 0.5313742654252565
iteration 66: energy = 21201.012313 = 21201.012309, xb = 21200.920039, voltage energy = 21201.268151, gap = 0.4403817524325859
iteration 67: energy = 21200.964354 = 21200.964350, xb = 21200.584821, voltage energy = 21200.593933, gap = 0.3886411124149163
iteration 68: energy = 21200.748145 = 21200.748141, xb = 21200.693569, voltage energy = 21200.802923, gap = 0.1639263853139710
iteration 69: energy = 21200.730466 = 21200.730461, xb = 21200.691741, voltage energy = 21200.796818, gap = 0.1437978576359455
iteration 70: energy = 21200.715964 = 21200.715959, xb = 21200.789509, voltage energy = 21200.985525, gap = 0.1224667282804148
iteration 71: energy = 21200.703974 = 21200.703969, xb = 21201.003031, voltage energy = 21201.414328, gap = 0.1122345453914022
iteration 72: energy = 21200.697714 = 21200.697708, xb = 21200.904574, voltage energy = 21201.212026, gap = 0.1005858311000338
iteration 73: energy = 21200.689753 = 21200.689747, xb = 21200.721002, voltage energy = 21200.843831, gap = 0.0915743637342530
iteration 74: energy = 21200.684391 = 21200.684385, xb = 21200.691469, voltage energy = 21200.784210, gap = 0.0856568827330193
iteration 75: energy = 21200.680893 = 21200.680887, xb = 21200.328361, voltage energy = 21200.057018, gap = 0.0811832188883272
iteration 76: energy = 21200.678039 = 21200.678033, xb = 21200.635031, voltage energy = 21200.669646, gap = 0.0776176670478890
iteration 77: energy = 21200.674982 = 21200.674976, xb = 21201.135719, voltage energy = 21201.671507, gap = 0.0750448934268206
iteration 78: energy = 21200.627200 = 21200.627194, xb = 21200.713212, voltage energy = 21200.826011, gap = 0.0267815398328821
iteration 79: energy = 21200.625318 = 21200.625311, xb = 21200.765242, voltage energy = 21200.929466, gap = 0.0242931363500247
iteration 80: energy = 21200.624404 = 21200.624397, xb = 21200.852420, voltage energy = 21201.104267, gap = 0.0238253888783220
iteration 81: energy = 21200.621529 = 21200.621522, xb = 21200.415746, voltage energy = 21200.230037, gap = 0.0200664907897590
iteration 82: energy = 21200.620904 = 21200.620897, xb = 21200.678370, voltage energy = 21200.754880, gap = 0.0190354751721316
iteration 83: energy = 21200.620071 = 21200.620063, xb = 21200.652355, voltage energy = 21200.703048, gap = 0.0184004216207541
iteration 84: energy = 21200.619795 = 21200.619787, xb = 21200.523212, voltage energy = 21200.444394, gap = 0.0177577968424885
iteration 85: energy = 21200.619586 = 21200.619577, xb = 21200.507860, voltage energy = 21200.413642, gap = 0.0174991965832305
iteration 86: energy = 21200.619360 = 21200.619351, xb = 21200.559101, voltage energy = 21200.516146, gap = 0.0172948090730642
iteration 87: energy = 21200.619229 = 21200.619219, xb = 21200.609605, voltage energy = 21200.617116, gap = 0.0171248727783677
iteration 88: energy = 21200.619128 = 21200.619118, xb = 21200.588618, voltage energy = 21200.575053, gap = 0.0169336182370898
iteration 89: energy = 21200.619039 = 21200.619028, xb = 21200.580290, voltage energy = 21200.558396, gap = 0.0168445721974422
iteration 90: energy = 21200.618978 = 21200.618966, xb = 21200.572955, voltage energy = 21200.544004, gap = 0.0170615144124895
iteration 91: energy = 21200.607335 = 21200.607323, xb = 21200.618753, voltage energy = 21200.635477, gap = 0.0052943443770346
iteration 92: energy = 21200.604163 = 21200.604151, xb = 21200.586173, voltage energy = 21200.570164, gap = 0.0019696337003552
iteration 93: energy = 21200.603616 = 21200.603603, xb = 21200.593674, voltage energy = 21200.585216, gap = 0.0014697675651405
iteration 94: energy = 21200.603471 = 21200.603457, xb = 21200.601996, voltage energy = 21200.601766, gap = 0.0012304437441344
iteration 95: energy = 21200.603441 = 21200.603426, xb = 21200.590569, voltage energy = 21200.578890, gap = 0.0011779804299294
iteration 96: energy = 21200.602469 = 21200.602454, xb = 21200.563229, voltage energy = 21200.524223, gap = 0.0002206838616985
iteration 97: energy = 21200.602451 = 21200.602436, xb = 21200.590820, voltage energy = 21200.579387, gap = 0.0001833426103985
iteration 98: energy = 21200.602435 = 21200.602419, xb = 21200.583912, voltage energy = 21200.565575, gap = 0.0001706927796477
iteration 99: energy = 21200.602397 = 21200.602381, xb = 21200.607174, voltage energy = 21200.612091, gap = 0.0001232374852407
iteration 100: energy = 21200.602335 = 21200.602319, xb = 21200.620047, voltage energy = 21200.637845, gap = 0.0000696917450114
iteration 101: energy = 21200.602305 = 21200.602289, xb = 21200.599892, voltage energy = 21200.597529, gap = 0.0000332290437655
iteration 102: energy = 21200.602299 = 21200.602282, xb = 21200.605760, voltage energy = 21200.609258, gap = 0.0000213146377064
iteration 103: energy = 21200.602295 = 21200.602278, xb = 21200.599678, voltage energy = 21200.597095, gap = 0.0000169708255271
iteration 104: energy = 21200.602293 = 21200.602276, xb = 21200.597850, voltage energy = 21200.593437, gap = 0.0000139158109960
iteration 105: energy = 21200.602291 = 21200.602274, xb = 21200.608896, voltage energy = 21200.615530, gap = 0.0000105614708446
iteration 106: energy = 21200.602287 = 21200.602269, xb = 21200.601818, voltage energy = 21200.601372, gap = 0.0000057569122873
iteration 107: energy = 21200.602286 = 21200.602269, xb = 21200.609667, voltage energy = 21200.617071, gap = 0.0000056244498410
iteration 108: energy = 21200.602285 = 21200.602268, xb = 21200.600781, voltage energy = 21200.599298, gap = 0.0000037309619074
iteration 109: energy = 21200.602284 = 21200.602266, xb = 21200.602571, voltage energy = 21200.602878, gap = 0.0000022559506760
iteration 110: energy = 21200.602284 = 21200.602266, xb = 21200.599073, voltage energy = 21200.595883, gap = 0.0000030230876291
iteration 111: energy = 21200.602283 = 21200.602266, xb = 21200.603586, voltage energy = 21200.604907, gap = 0.0000014419310901
iteration 112: energy = 21200.602283 = 21200.602266, xb = 21200.600959, voltage energy = 21200.599653, gap = 0.0000011090851331
iteration 113: energy = 21200.602283 = 21200.602265, xb = 21200.596780, voltage energy = 21200.591296, gap = 0.0000010571093298
iteration 114: energy = 21200.602283 = 21200.602265, xb = 21200.598780, voltage energy = 21200.595295, gap = 0.0000006239570212
iteration 115: energy = 21200.602283 = 21200.602265, xb = 21200.600982, voltage energy = 21200.599700, gap = 0.0000005505753506
iteration 116: energy = 21200.602283 = 21200.602265, xb = 21200.601526, voltage energy = 21200.600787, gap = 0.0000003533568815
iteration 117: energy = 21200.602283 = 21200.602265, xb = 21200.602225, voltage energy = 21200.602186, gap = 0.0000002835149644
iteration 118: energy = 21200.602282 = 21200.602265, xb = 21200.603530, voltage energy = 21200.604795, gap = 0.0000002033339115
linesolver
iteration 1: energy = 24773317.113010 = 24773317.113008, xb = 37329.436671, voltage energy = 17955080.439341, gap = 42653738.6790077686309814
iteration 2: energy = 18930942.304161 = 18930942.304162, xb = 24657.684700, voltage energy = 2086699.496835, gap = 20968326.4315976575016975
iteration 3: energy = 13064638.461650 = 13064638.461652, xb = 23760.756199, voltage energy = 3721390.259815, gap = 16738507.2090699635446072
iteration 4: energy = 9438183.205684 = 9438183.205685, xb = 13552.173740, voltage energy = 1076282.761674, gap = 10487361.6198783572763205
iteration 5: energy = 7610073.149979 = 7610073.149979, xb = 20227.830251, voltage energy = 621199.352195, gap = 8190816.8416711464524269
iteration 6: energy = 5854564.529192 = 5854564.529190, xb = 23220.702179, voltage energy = 5582213.781199, gap = 11390336.9060321077704430
iteration 7: energy = 4819383.227263 = 4819383.227261, xb = 3606.195769, voltage energy = 2582257.024846, gap = 7394427.8605697732418776
iteration 8: energy = 4106552.247070 = 4106552.247067, xb = 23163.021113, voltage energy = 604149.783164, gap = 4664375.9880045335739851
iteration 9: energy = 3151200.126128 = 3151200.126125, xb = 20936.039442, voltage energy = 231671.912515, gap = 3340999.9597558504901826
iteration 10: energy = 2310894.136937 = 2310894.136934, xb = 16848.692550, voltage energy = 189426.302635, gap = 2466623.0544691141694784
iteration 11: energy = 2058127.988242 = 2058127.988239, xb = 20649.887215, voltage energy = 138112.988460, gap = 2154941.2022698493674397
iteration 12: energy = 1328793.209923 = 1328793.209920, xb = 17748.766584, voltage energy = 2312010.071228, gap = 3605305.7479809187352657
iteration 13: energy = 860536.418271 = 860536.418268, xb = 21475.743302, voltage energy = 129263.429844, gap = 946848.3615067361388355
iteration 14: energy = 680386.730566 = 680386.730562, xb = 24609.811441, voltage energy = 180236.467106, gap = 811403.5747867842437699
iteration 15: energy = 492545.647082 = 492545.647079, xb = 21948.369174, voltage energy = 62080.819158, gap = 510729.7278888594009914
iteration 16: energy = 406966.663256 = 406966.663252, xb = 19294.184822, voltage energy = 57428.543916, gap = 425806.8375250913086347
iteration 17: energy = 362959.962025 = 362959.962022, xb = 19030.768024, voltage energy = 71819.182836, gap = 396717.6088100573397242
iteration 18: energy = 189804.734189 = 189804.734185, xb = 21442.252955, voltage energy = 45793.698728, gap = 192713.9270042697608005
iteration 19: energy = 154205.104815 = 154205.104811, xb = 20890.540304, voltage energy = 35573.417937, gap = 147997.4421404029708356
iteration 20: energy = 124904.381814 = 124904.381810, xb = 21133.517055, voltage energy = 31933.271210, gap = 114570.6189106518577319
iteration 21: energy = 104453.479954 = 104453.479951, xb = 21813.597787, voltage energy = 32836.857553, gap = 93663.1419306078460068
iteration 22: energy = 73061.708069 = 73061.708066, xb = 20902.534599, voltage energy = 28623.074832, gap = 59879.7136998171990854
iteration 23: energy = 62362.963829 = 62362.963825, xb = 23042.358359, voltage energy = 90557.922490, gap = 106836.1695980686054099
iteration 24: energy = 49227.797525 = 49227.797521, xb = 21359.374533, voltage energy = 26628.537329, gap = 33137.5857835529386648
iteration 25: energy = 44681.396652 = 44681.396648, xb = 20735.703910, voltage energy = 22755.600180, gap = 25965.5890078987322340
iteration 26: energy = 41698.960214 = 41698.960210, xb = 21030.309049, voltage energy = 22739.242496, gap = 22377.5846081473209779
iteration 27: energy = 35342.696730 = 35342.696726, xb = 21092.954971, voltage energy = 22909.492789, gap = 16066.2795732606064121
iteration 28: energy = 31890.208238 = 31890.208235, xb = 21489.183737, voltage energy = 23304.458867, gap = 12216.2996284288783500
iteration 29: energy = 28254.710542 = 28254.710539, xb = 20817.070028, voltage energy = 21276.327287, gap = 7896.8977699484312325
iteration 30: energy = 25625.491922 = 25625.491919, xb = 21221.288509, voltage energy = 21900.588772, gap = 5083.5036723515258927
iteration 31: energy = 24417.281680 = 24417.281677, xb = 21592.577827, voltage energy = 23345.589294, gap = 4577.7153167895485240
iteration 32: energy = 23634.564804 = 23634.564801, xb = 21065.369030, voltage energy = 21654.146465, gap = 3157.9732067857366928
iteration 33: energy = 22843.632812 = 22843.632808, xb = 21264.962307, voltage energy = 21548.300650, gap = 1862.0088447485213692
iteration 34: energy = 22505.919972 = 22505.919968, xb = 21156.601438, voltage energy = 21302.497116, gap = 1495.2142071507114451
iteration 35: energy = 22170.274478 = 22170.274474, xb = 21134.768221, voltage energy = 21229.045490, gap = 1129.7835218070977135
iteration 36: energy = 22006.898833 = 22006.898829, xb = 21173.031059, voltage energy = 21287.330548, gap = 948.1672596740900190
iteration 37: energy = 21823.334841 = 21823.334837, xb = 21200.439141, voltage energy = 21390.755990, gap = 813.2125456321264210
iteration 38: energy = 21664.368529 = 21664.368526, xb = 21223.872874, voltage energy = 21633.227108, gap = 849.8498866626796371
iteration 39: energy = 21573.994242 = 21573.994238, xb = 21200.998537, voltage energy = 21259.282788, gap = 431.2799531269993167
iteration 40: energy = 21460.362240 = 21460.362236, xb = 21239.747985, voltage energy = 21329.293072, gap = 310.1593380802114552
iteration 41: energy = 21412.047785 = 21412.047781, xb = 21196.595623, voltage energy = 21248.026937, gap = 266.8834717054414796
iteration 42: energy = 21336.365662 = 21336.365659, xb = 21191.446478, voltage energy = 21198.761185, gap = 152.2338877395886811
iteration 43: energy = 21304.840796 = 21304.840792, xb = 21192.228874, voltage energy = 21200.515345, gap = 120.8983883435212192
iteration 44: energy = 21274.910463 = 21274.910460, xb = 21209.879001, voltage energy = 21231.219846, gap = 86.3723050540356780
iteration 45: energy = 21256.712388 = 21256.712385, xb = 21161.352400, voltage energy = 21148.072949, gap = 82.0805337807178148
iteration 46: energy = 21241.331271 = 21241.331267, xb = 21189.830103, voltage energy = 21188.000110, gap = 49.6711719423110480
iteration 47: energy = 21230.881101 = 21230.881097, xb = 21205.438458, voltage energy = 21216.372509, gap = 36.3766891262275749
iteration 48: energy = 21225.826939 = 21225.826936, xb = 21186.875032, voltage energy = 21179.069628, gap = 31.1465003491684911
iteration 49: energy = 21221.802865 = 21221.802861, xb = 21197.517799, voltage energy = 21197.399183, gap = 24.1664460712127038
iteration 50: energy = 21218.733731 = 21218.733727, xb = 21192.027926, voltage energy = 21185.559372, gap = 20.2372466971137328
iteration 51: energy = 21212.744683 = 21212.744680, xb = 21203.117410, voltage energy = 21207.812916, gap = 14.3227756375235913
iteration 52: energy = 21208.318848 = 21208.318845, xb = 21203.876098, voltage energy = 21209.718123, gap = 10.2847719156052335
iteration 53: energy = 21206.972194 = 21206.972190, xb = 21200.269816, voltage energy = 21202.133095, gap = 8.5656529963307548
iteration 54: energy = 21205.864357 = 21205.864353, xb = 21200.512857, voltage energy = 21201.629398, gap = 6.4680370821770339
iteration 55: energy = 21204.981411 = 21204.981407, xb = 21201.773059, voltage energy = 21204.403139, gap = 5.8384284659841796
