linesolver
iteration 16: residue = 0.233230, energy = 166666.790807 = 166666.790806, xb = 166666.836035, voltage energy = 166667.001894, gap = 0.120631
iteration 17: residue = 0.164570, energy = 166666.753190 = 166666.753189, xb = 166666.830892, voltage energy = 166666.966975, gap = 0.058380
iteration 18: residue = 0.120163, energy = 166666.736930 = 166666.736928, xb = 166666.703905, voltage energy = 166666.702457, gap = 0.031575
iteration 19: residue = 0.071034, energy = 166666.724851 = 166666.724849, xb = 166666.675183, voltage energy = 166666.636540, gap = 0.011022
iteration 20: residue = 0.043036, energy = 166666.720735 = 166666.720733, xb = 166666.733888, voltage energy = 166666.751217, gap = 0.004173
iteration 21: residue = 0.031487, energy = 166666.719516 = 166666.719513, xb = 166666.735909, voltage energy = 166666.754464, gap = 0.002159
iteration 22: residue = 0.014809, energy = 166666.718571 = 166666.718569, xb = 166666.726511, voltage energy = 166666.735005, gap = 0.000551
iteration 23: residue = 0.009835, energy = 166666.718373 = 166666.718370, xb = 166666.724878, voltage energy = 166666.731604, gap = 0.000219
iteration 24: residue = 0.004991, energy = 166666.718272 = 166666.718270, xb = 166666.719477, voltage energy = 166666.720743, gap = 0.000058
iteration 25: residue = 0.003015, energy = 166666.718250 = 166666.718247, xb = 166666.714663, voltage energy = 166666.711100, gap = 0.000022
iteration 26: residue = 0.002083, energy = 166666.718242 = 166666.718239, xb = 166666.719031, voltage energy = 166666.719833, gap = 0.000010
iteration 27: residue = 0.001651, energy = 166666.718240 = 166666.718237, xb = 166666.720110, voltage energy = 166666.721989, gap = 0.000006
iteration 28: residue = 0.000819, energy = 166666.718238 = 166666.718235, xb = 166666.717663, voltage energy = 166666.717094, gap = 0.000002
iteration 29: residue = 0.000611, energy = 166666.718237 = 166666.718234, xb = 166666.717765, voltage energy = 166666.717297, gap = 0.000001
iteration 30: residue = 0.000495, energy = 166666.718237 = 166666.718234, xb = 166666.718093, voltage energy = 166666.717953, gap = 0.000001
iteration 31: residue = 0.000334, energy = 166666.718237 = 166666.718234, xb = 166666.718572, voltage energy = 166666.718911, gap = 0.000000
iteration 32: residue = 0.000254, energy = 166666.718237 = 166666.718234, xb = 166666.718380, voltage energy = 166666.718526, gap = 0.000000
iteration 33: residue = 0.000239, energy = 166666.718237 = 166666.718234, xb = 166666.718289, voltage energy = 166666.718344, gap = 0.000000
iteration 34: residue = 0.000076, energy = 166666.718237 = 166666.718234, xb = 166666.718177, voltage energy = 166666.718121, gap = 0.000000
iteration 35: residue = 0.000066, energy = 166666.718237 = 166666.718234, xb = 166666.718170, voltage energy = 166666.718107, gap = 0.000000
iteration 36: residue = 0.000028, energy = 166666.718237 = 166666.718233, xb = 166666.718217, voltage energy = 166666.718201, gap = 0.000000
iteration 37: residue = 0.000016, energy = 166666.718237 = 166666.718233, xb = 166666.718215, voltage energy = 166666.718197, gap = 0.000000
iteration 38: residue = 0.000014, energy = 166666.718237 = 166666.718233, xb = 166666.718221, voltage energy = 166666.718209, gap = 0.000000
iteration 39: residue = 0.000013, energy = 166666.718237 = 166666.718233, xb = 166666.718227, voltage energy = 166666.718220, gap = 0.000000
iteration 40: residue = 0.000005, energy = 166666.718237 = 166666.718233, xb = 166666.718230, voltage energy = 166666.718227, gap = 0.000000
recursivelinesolver
iteration 0: residue = 281.118451, energy = 259826.325166 = 259826.325166, xb = 240997.235656, voltage energy = 427532.800094, gap = 205364.653947
iteration 1: residue = 177.882639, energy = 200530.375918 = 200530.375918, xb = 183379.400921, voltage energy = 230632.287836, gap = 64403.861913
iteration 2: residue = 109.188866, energy = 180144.279998 = 180144.279998, xb = 170350.506599, voltage energy = 184628.038056, gap = 24071.304856
iteration 3: residue = 68.706741, energy = 172270.402393 = 172270.402393, xb = 167445.145021, voltage energy = 172358.857911, gap = 9738.970261
iteration 4: residue = 44.014357, energy = 169046.668764 = 169046.668763, xb = 166815.171682, voltage energy = 168664.950485, gap = 4081.275885
iteration 5: residue = 28.322054, energy = 167675.937299 = 167675.937299, xb = 166708.701601, voltage energy = 167453.826855, gap = 1712.360952
iteration 6: residue = 18.639692, energy = 167107.901447 = 167107.901447, xb = 166690.356777, voltage energy = 167018.767960, gap = 745.955853
iteration 7: residue = 12.182698, energy = 166857.360564 = 166857.360564, xb = 166673.690916, voltage energy = 166811.241534, gap = 321.220266
iteration 8: residue = 7.732459, energy = 166745.331617 = 166745.331617, xb = 166664.153676, voltage energy = 166714.737380, gap = 131.761645
iteration 9: residue = 5.023117, energy = 166700.087980 = 166700.087979, xb = 166663.627705, voltage energy = 166682.900994, gap = 55.733563
iteration 10: residue = 3.405326, energy = 166681.948647 = 166681.948647, xb = 166663.533681, voltage energy = 166670.585051, gap = 25.466335
iteration 11: residue = 2.321467, energy = 166673.765336 = 166673.765336, xb = 166665.984426, voltage energy = 166670.010182, gap = 11.806666
iteration 12: residue = 1.392307, energy = 166669.350815 = 166669.350815, xb = 166665.888846, voltage energy = 166666.803996, gap = 4.377119
iteration 13: residue = 0.855370, energy = 166667.714130 = 166667.714130, xb = 166666.604888, voltage energy = 166667.144216, gap = 1.648569
iteration 14: residue = 0.543651, energy = 166667.124553 = 166667.124553, xb = 166667.164386, voltage energy = 166667.876801, gap = 0.672581
iteration 15: residue = 0.341158, energy = 166666.878548 = 166666.878548, xb = 166666.777923, voltage energy = 166666.942252, gap = 0.264954
iteration 16: residue = 0.233230, energy = 166666.790807 = 166666.790806, xb = 166666.836035, voltage energy = 166667.001894, gap = 0.120631
iteration 17: residue = 0.164570, energy = 166666.753190 = 166666.753189, xb = 166666.830892, voltage energy = 166666.966975, gap = 0.058380
iteration 18: residue = 0.120163, energy = 166666.736930 = 166666.736928, xb = 166666.703905, voltage energy = 166666.702457, gap = 0.031575
iteration 19: residue = 0.071034, energy = 166666.724851 = 166666.724849, xb = 166666.675183, voltage energy = 166666.636540, gap = 0.011022
iteration 20: residue = 0.043036, energy = 166666.720735 = 166666.720733, xb = 166666.733888, voltage energy = 166666.751217, gap = 0.004173
iteration 21: residue = 0.031487, energy = 166666.719516 = 166666.719513, xb = 166666.735909, voltage energy = 166666.754464, gap = 0.002159
iteration 22: residue = 0.014809, energy = 166666.718571 = 166666.718569, xb = 166666.726511, voltage energy = 166666.735005, gap = 0.000551
iteration 23: residue = 0.009835, energy = 166666.718373 = 166666.718370, xb = 166666.724878, voltage energy = 166666.731604, gap = 0.000219
iteration 24: residue = 0.004991, energy = 166666.718272 = 166666.718270, xb = 166666.719477, voltage energy = 166666.720743, gap = 0.000058
iteration 25: residue = 0.003015, energy = 166666.718250 = 166666.718247, xb = 166666.714663, voltage energy = 166666.711100, gap = 0.000022
iteration 26: residue = 0.002083, energy = 166666.718242 = 166666.718239, xb = 166666.719031, voltage energy = 166666.719833, gap = 0.000010
iteration 27: residue = 0.001651, energy = 166666.718240 = 166666.718237, xb = 166666.720110, voltage energy = 166666.721989, gap = 0.000006
iteration 28: residue = 0.000819, energy = 166666.718238 = 166666.718235, xb = 166666.717663, voltage energy = 166666.717094, gap = 0.000002
iteration 29: residue = 0.000611, energy = 166666.718237 = 166666.718234, xb = 166666.717765, voltage energy = 166666.717297, gap = 0.000001
iteration 30: residue = 0.000495, energy = 166666.718237 = 166666.718234, xb = 166666.718093, voltage energy = 166666.717953, gap = 0.000001
iteration 31: residue = 0.000334, energy = 166666.718237 = 166666.718234, xb = 166666.718572, voltage energy = 166666.718911, gap = 0.000000
iteration 32: residue = 0.000254, energy = 166666.718237 = 166666.718234, xb = 166666.718380, voltage energy = 166666.718526, gap = 0.000000
iteration 33: residue = 0.000239, energy = 166666.718237 = 166666.718234, xb = 166666.718289, voltage energy = 166666.718344, gap = 0.000000
iteration 34: residue = 0.000076, energy = 166666.718237 = 166666.718234, xb = 166666.718177, voltage energy = 166666.718121, gap = 0.000000
iteration 35: residue = 0.000066, energy = 166666.718237 = 166666.718234, xb = 166666.718170, voltage energy = 166666.718107, gap = 0.000000
iteration 36: residue = 0.000028, energy = 166666.718237 = 166666.718233, xb = 166666.718217, voltage energy = 166666.718201, gap = 0.000000
iteration 37: residue = 0.000016, energy = 166666.718237 = 166666.718233, xb = 166666.718215, voltage energy = 166666.718197, gap = 0.000000
iteration 38: residue = 0.000014, energy = 166666.718237 = 166666.718233, xb = 166666.718221, voltage energy = 166666.718209, gap = 0.000000
iteration 39: residue = 0.000013, energy = 166666.718237 = 166666.718233, xb = 166666.718227, voltage energy = 166666.718220, gap = 0.000000
iteration 40: residue = 0.000005, energy = 166666.718237 = 166666.718233, xb = 166666.718230, voltage energy = 166666.718227, gap = 0.000000
recursivelinesolver
iteration 0: residue = 281.118451, energy = 259826.325166 = 259826.325166, xb = 240997.235656, voltage energy = 427532.800094, gap = 205364.653947
iteration 1: residue = 177.882639, energy = 200530.375918 = 200530.375918, xb = 183379.400921, voltage energy = 230632.287836, gap = 64403.861913
iteration 2: residue = 109.188866, energy = 180144.279998 = 180144.279998, xb = 170350.506599, voltage energy = 184628.038056, gap = 24071.304856
iteration 3: residue = 68.706741, energy = 172270.402393 = 172270.402393, xb = 167445.145021, voltage energy = 172358.857911, gap = 9738.970261
iteration 4: residue = 44.014357, energy = 169046.668764 = 169046.668763, xb = 166815.171682, voltage energy = 168664.950485, gap = 4081.275885
iteration 5: residue = 28.322054, energy = 167675.937299 = 167675.937299, xb = 166708.701601, voltage energy = 167453.826855, gap = 1712.360952
iteration 6: residue = 18.639692, energy = 167107.901447 = 167107.901447, xb = 166690.356777, voltage energy = 167018.767960, gap = 745.955853
iteration 7: residue = 12.182698, energy = 166857.360564 = 166857.360564, xb = 166673.690916, voltage energy = 166811.241534, gap = 321.220266
iteration 8: residue = 7.732459, energy = 166745.331617 = 166745.331617, xb = 166664.153676, voltage energy = 166714.737380, gap = 131.761645
iteration 9: residue = 5.023117, energy = 166700.087980 = 166700.087979, xb = 166663.627705, voltage energy = 166682.900994, gap = 55.733563
iteration 10: residue = 3.405326, energy = 166681.948647 = 166681.948647, xb = 166663.533681, voltage energy = 166670.585051, gap = 25.466335
iteration 11: residue = 2.321467, energy = 166673.765336 = 166673.765336, xb = 166665.984426, voltage energy = 166670.010182, gap = 11.806666
iteration 12: residue = 1.392307, energy = 166669.350815 = 166669.350815, xb = 166665.888846, voltage energy = 166666.803996, gap = 4.377119
iteration 13: residue = 0.855370, energy = 166667.714130 = 166667.714130, xb = 166666.604888, voltage energy = 166667.144216, gap = 1.648569
iteration 14: residue = 0.543651, energy = 166667.124553 = 166667.124553, xb = 166667.164386, voltage energy = 166667.876801, gap = 0.672581
iteration 15: residue = 0.341158, energy = 166666.878548 = 166666.878548, xb = 166666.777923, voltage energy = 166666.942252, gap = 0.264954
iteration 16: residue = 0.233230, energy = 166666.790807 = 166666.790806, xb = 166666.836035, voltage energy = 166667.001894, gap = 0.120631
iteration 17: residue = 0.164570, energy = 166666.753190 = 166666.753189, xb = 166666.830892, voltage energy = 166666.966975, gap = 0.058380
iteration 18: residue = 0.120163, energy = 166666.736930 = 166666.736928, xb = 166666.703905, voltage energy = 166666.702457, gap = 0.031575
iteration 19: residue = 0.071034, energy = 166666.724851 = 166666.724849, xb = 166666.675183, voltage energy = 166666.636540, gap = 0.011022
iteration 20: residue = 0.043036, energy = 166666.720735 = 166666.720733, xb = 166666.733888, voltage energy = 166666.751217, gap = 0.004173
iteration 21: residue = 0.031487, energy = 166666.719516 = 166666.719513, xb = 166666.735909, voltage energy = 166666.754464, gap = 0.002159
iteration 22: residue = 0.014809, energy = 166666.718571 = 166666.718569, xb = 166666.726511, voltage energy = 166666.735005, gap = 0.000551
iteration 23: residue = 0.009835, energy = 166666.718373 = 166666.718370, xb = 166666.724878, voltage energy = 166666.731604, gap = 0.000219
iteration 24: residue = 0.004991, energy = 166666.718272 = 166666.718270, xb = 166666.719477, voltage energy = 166666.720743, gap = 0.000058
iteration 25: residue = 0.003015, energy = 166666.718250 = 166666.718247, xb = 166666.714663, voltage energy = 166666.711100, gap = 0.000022
iteration 26: residue = 0.002083, energy = 166666.718242 = 166666.718239, xb = 166666.719031, voltage energy = 166666.719833, gap = 0.000010
iteration 27: residue = 0.001651, energy = 166666.718240 = 166666.718237, xb = 166666.720110, voltage energy = 166666.721989, gap = 0.000006
iteration 28: residue = 0.000819, energy = 166666.718238 = 166666.718235, xb = 166666.717663, voltage energy = 166666.717094, gap = 0.000002
iteration 29: residue = 0.000611, energy = 166666.718237 = 166666.718234, xb = 166666.717765, voltage energy = 166666.717297, gap = 0.000001
iteration 30: residue = 0.000495, energy = 166666.718237 = 166666.718234, xb = 166666.718093, voltage energy = 166666.717953, gap = 0.000001
iteration 31: residue = 0.000334, energy = 166666.718237 = 166666.718234, xb = 166666.718572, voltage energy = 166666.718911, gap = 0.000000
iteration 32: residue = 0.000254, energy = 166666.718237 = 166666.718234, xb = 166666.718380, voltage energy = 166666.718526, gap = 0.000000
iteration 33: residue = 0.000239, energy = 166666.718237 = 166666.718234, xb = 166666.718289, voltage energy = 166666.718344, gap = 0.000000
iteration 34: residue = 0.000076, energy = 166666.718237 = 166666.718234, xb = 166666.718177, voltage energy = 166666.718121, gap = 0.000000
iteration 35: residue = 0.000066, energy = 166666.718237 = 166666.718234, xb = 166666.718170, voltage energy = 166666.718107, gap = 0.000000
iteration 36: residue = 0.000028, energy = 166666.718237 = 166666.718233, xb = 166666.718217, voltage energy = 166666.718201, gap = 0.000000
iteration 37: residue = 0.000016, energy = 166666.718237 = 166666.718233, xb = 166666.718215, voltage energy = 166666.718197, gap = 0.000000
iteration 38: residue = 0.000014, energy = 166666.718237 = 166666.718233, xb = 166666.718221, voltage energy = 166666.718209, gap = 0.000000
iteration 39: residue = 0.000013, energy = 166666.718237 = 166666.718233, xb = 166666.718227, voltage energy = 166666.718220, gap = 0.000000
iteration 40: residue = 0.000005, energy = 166666.718237 = 166666.718233, xb = 166666.718230, voltage energy = 166666.718227, gap = 0.000000
recursivelinesolver
iteration 0: residue = 281.118451, energy = 259826.325166 = 259826.325166, xb = 240997.235656, voltage energy = 427532.800094, gap = 205364.653947
iteration 1: residue = 177.882639, energy = 200530.375918 = 200530.375918, xb = 183379.400921, voltage energy = 230632.287836, gap = 64403.861913
iteration 2: residue = 109.188866, energy = 180144.279998 = 180144.279998, xb = 170350.506599, voltage energy = 184628.038056, gap = 24071.304856
iteration 3: residue = 68.706741, energy = 172270.402393 = 172270.402393, xb = 167445.145021, voltage energy = 172358.857911, gap = 9738.970261
iteration 4: residue = 44.014357, energy = 169046.668764 = 169046.668763, xb = 166815.171682, voltage energy = 168664.950485, gap = 4081.275885
iteration 5: residue = 28.322054, energy = 167675.937299 = 167675.937299, xb = 166708.701601, voltage energy = 167453.826855, gap = 1712.360952
iteration 6: residue = 18.639692, energy = 167107.901447 = 167107.901447, xb = 166690.356777, voltage energy = 167018.767960, gap = 745.955853
iteration 7: residue = 12.182698, energy = 166857.360564 = 166857.360564, xb = 166673.690916, voltage energy = 166811.241534, gap = 321.220266
iteration 8: residue = 7.732459, energy = 166745.331617 = 166745.331617, xb = 166664.153676, voltage energy = 166714.737380, gap = 131.761645
iteration 9: residue = 5.023117, energy = 166700.087980 = 166700.087979, xb = 166663.627705, voltage energy = 166682.900994, gap = 55.733563
iteration 10: residue = 3.405326, energy = 166681.948647 = 166681.948647, xb = 166663.533681, voltage energy = 166670.585051, gap = 25.466335
iteration 11: residue = 2.321467, energy = 166673.765336 = 166673.765336, xb = 166665.984426, voltage energy = 166670.010182, gap = 11.806666
iteration 12: residue = 1.392307, energy = 166669.350815 = 166669.350815, xb = 166665.888846, voltage energy = 166666.803996, gap = 4.377119
iteration 13: residue = 0.855370, energy = 166667.714130 = 166667.714130, xb = 166666.604888, voltage energy = 166667.144216, gap = 1.648569
iteration 14: residue = 0.543651, energy = 166667.124553 = 166667.124553, xb = 166667.164386, voltage energy = 166667.876801, gap = 0.672581
iteration 15: residue = 0.341158, energy = 166666.878548 = 166666.878548, xb = 166666.777923, voltage energy = 166666.942252, gap = 0.264954
iteration 16: residue = 0.233230, energy = 166666.790807 = 166666.790806, xb = 166666.836035, voltage energy = 166667.001894, gap = 0.120631
iteration 17: residue = 0.164570, energy = 166666.753190 = 166666.753189, xb = 166666.830892, voltage energy = 166666.966975, gap = 0.058380
iteration 18: residue = 0.120163, energy = 166666.736930 = 166666.736928, xb = 166666.703905, voltage energy = 166666.702457, gap = 0.031575
iteration 19: residue = 0.071034, energy = 166666.724851 = 166666.724849, xb = 166666.675183, voltage energy = 166666.636540, gap = 0.011022
iteration 20: residue = 0.043036, energy = 166666.720735 = 166666.720733, xb = 166666.733888, voltage energy = 166666.751217, gap = 0.004173
iteration 21: residue = 0.031487, energy = 166666.719516 = 166666.719513, xb = 166666.735909, voltage energy = 166666.754464, gap = 0.002159
iteration 22: residue = 0.014809, energy = 166666.718571 = 166666.718569, xb = 166666.726511, voltage energy = 166666.735005, gap = 0.000551
iteration 23: residue = 0.009835, energy = 166666.718373 = 166666.718370, xb = 166666.724878, voltage energy = 166666.731604, gap = 0.000219
iteration 24: residue = 0.004991, energy = 166666.718272 = 166666.718270, xb = 166666.719477, voltage energy = 166666.720743, gap = 0.000058
iteration 25: residue = 0.003015, energy = 166666.718250 = 166666.718247, xb = 166666.714663, voltage energy = 166666.711100, gap = 0.000022
iteration 26: residue = 0.002083, energy = 166666.718242 = 166666.718239, xb = 166666.719031, voltage energy = 166666.719833, gap = 0.000010
iteration 27: residue = 0.001651, energy = 166666.718240 = 166666.718237, xb = 166666.720110, voltage energy = 166666.721989, gap = 0.000006
iteration 28: residue = 0.000819, energy = 166666.718238 = 166666.718235, xb = 166666.717663, voltage energy = 166666.717094, gap = 0.000002
iteration 29: residue = 0.000611, energy = 166666.718237 = 166666.718234, xb = 166666.717765, voltage energy = 166666.717297, gap = 0.000001
iteration 30: residue = 0.000495, energy = 166666.718237 = 166666.718234, xb = 166666.718093, voltage energy = 166666.717953, gap = 0.000001
iteration 31: residue = 0.000334, energy = 166666.718237 = 166666.718234, xb = 166666.718572, voltage energy = 166666.718911, gap = 0.000000
iteration 32: residue = 0.000254, energy = 166666.718237 = 166666.718234, xb = 166666.718380, voltage energy = 166666.718526, gap = 0.000000
iteration 33: residue = 0.000239, energy = 166666.718237 = 166666.718234, xb = 166666.718289, voltage energy = 166666.718344, gap = 0.000000
iteration 34: residue = 0.000076, energy = 166666.718237 = 166666.718234, xb = 166666.718177, voltage energy = 166666.718121, gap = 0.000000
iteration 35: residue = 0.000066, energy = 166666.718237 = 166666.718234, xb = 166666.718170, voltage energy = 166666.718107, gap = 0.000000
iteration 36: residue = 0.000028, energy = 166666.718237 = 166666.718233, xb = 166666.718217, voltage energy = 166666.718201, gap = 0.000000
iteration 37: residue = 0.000016, energy = 166666.718237 = 166666.718233, xb = 166666.718215, voltage energy = 166666.718197, gap = 0.000000
iteration 38: residue = 0.000014, energy = 166666.718237 = 166666.718233, xb = 166666.718221, voltage energy = 166666.718209, gap = 0.000000
iteration 39: residue = 0.000013, energy = 166666.718237 = 166666.718233, xb = 166666.718227, voltage energy = 166666.718220, gap = 0.000000
iteration 40: residue = 0.000005, energy = 166666.718237 = 166666.718233, xb = 166666.718230, voltage energy = 166666.718227, gap = 0.000000
recursivelinesolver
iteration 0: residue = 281.118451, energy = 259826.325166 = 259826.325166, xb = 240997.235656, voltage energy = 427532.800094, gap = 205364.653947
iteration 1: residue = 177.882639, energy = 200530.375918 = 200530.375918, xb = 183379.400921, voltage energy = 230632.287836, gap = 64403.861913
iteration 2: residue = 109.188866, energy = 180144.279998 = 180144.279998, xb = 170350.506599, voltage energy = 184628.038056, gap = 24071.304856
iteration 3: residue = 68.706741, energy = 172270.402393 = 172270.402393, xb = 167445.145021, voltage energy = 172358.857911, gap = 9738.970261
iteration 4: residue = 44.014357, energy = 169046.668764 = 169046.668763, xb = 166815.171682, voltage energy = 168664.950485, gap = 4081.275885
iteration 5: residue = 28.322054, energy = 167675.937299 = 167675.937299, xb = 166708.701601, voltage energy = 167453.826855, gap = 1712.360952
iteration 6: residue = 18.639692, energy = 167107.901447 = 167107.901447, xb = 166690.356777, voltage energy = 167018.767960, gap = 745.955853
iteration 7: residue = 12.182698, energy = 166857.360564 = 166857.360564, xb = 166673.690916, voltage energy = 166811.241534, gap = 321.220266
iteration 8: residue = 7.732459, energy = 166745.331617 = 166745.331617, xb = 166664.153676, voltage energy = 166714.737380, gap = 131.761645
iteration 9: residue = 5.023117, energy = 166700.087980 = 166700.087979, xb = 166663.627705, voltage energy = 166682.900994, gap = 55.733563
iteration 10: residue = 3.405326, energy = 166681.948647 = 166681.948647, xb = 166663.533681, voltage energy = 166670.585051, gap = 25.466335
iteration 11: residue = 2.321467, energy = 166673.765336 = 166673.765336, xb = 166665.984426, voltage energy = 166670.010182, gap = 11.806666
iteration 12: residue = 1.392307, energy = 166669.350815 = 166669.350815, xb = 166665.888846, voltage energy = 166666.803996, gap = 4.377119
iteration 13: residue = 0.855370, energy = 166667.714130 = 166667.714130, xb = 166666.604888, voltage energy = 166667.144216, gap = 1.648569
iteration 14: residue = 0.543651, energy = 166667.124553 = 166667.124553, xb = 166667.164386, voltage energy = 166667.876801, gap = 0.672581
iteration 15: residue = 0.341158, energy = 166666.878548 = 166666.878548, xb = 166666.777923, voltage energy = 166666.942252, gap = 0.264954
iteration 16: residue = 0.233230, energy = 166666.790807 = 166666.790806, xb = 166666.836035, voltage energy = 166667.001894, gap = 0.120631
iteration 17: residue = 0.164570, energy = 166666.753190 = 166666.753189, xb = 166666.830892, voltage energy = 166666.966975, gap = 0.058380
iteration 18: residue = 0.120163, energy = 166666.736930 = 166666.736928, xb = 166666.703905, voltage energy = 166666.702457, gap = 0.031575
iteration 19: residue = 0.071034, energy = 166666.724851 = 166666.724849, xb = 166666.675183, voltage energy = 166666.636540, gap = 0.011022
iteration 20: residue = 0.043036, energy = 166666.720735 = 166666.720733, xb = 166666.733888, voltage energy = 166666.751217, gap = 0.004173
iteration 21: residue = 0.031487, energy = 166666.719516 = 166666.719513, xb = 166666.735909, voltage energy = 166666.754464, gap = 0.002159
iteration 22: residue = 0.014809, energy = 166666.718571 = 166666.718569, xb = 166666.726511, voltage energy = 166666.735005, gap = 0.000551
iteration 23: residue = 0.009835, energy = 166666.718373 = 166666.718370, xb = 166666.724878, voltage energy = 166666.731604, gap = 0.000219
iteration 24: residue = 0.004991, energy = 166666.718272 = 166666.718270, xb = 166666.719477, voltage energy = 166666.720743, gap = 0.000058
iteration 25: residue = 0.003015, energy = 166666.718250 = 166666.718247, xb = 166666.714663, voltage energy = 166666.711100, gap = 0.000022
iteration 26: residue = 0.002083, energy = 166666.718242 = 166666.718239, xb = 166666.719031, voltage energy = 166666.719833, gap = 0.000010
iteration 27: residue = 0.001651, energy = 166666.718240 = 166666.718237, xb = 166666.720110, voltage energy = 166666.721989, gap = 0.000006
iteration 28: residue = 0.000819, energy = 166666.718238 = 166666.718235, xb = 166666.717663, voltage energy = 166666.717094, gap = 0.000002
iteration 29: residue = 0.000611, energy = 166666.718237 = 166666.718234, xb = 166666.717765, voltage energy = 166666.717297, gap = 0.000001
iteration 30: residue = 0.000495, energy = 166666.718237 = 166666.718234, xb = 166666.718093, voltage energy = 166666.717953, gap = 0.000001
iteration 31: residue = 0.000334, energy = 166666.718237 = 166666.718234, xb = 166666.718572, voltage energy = 166666.718911, gap = 0.000000
iteration 32: residue = 0.000254, energy = 166666.718237 = 166666.718234, xb = 166666.718380, voltage energy = 166666.718526, gap = 0.000000
iteration 33: residue = 0.000239, energy = 166666.718237 = 166666.718234, xb = 166666.718289, voltage energy = 166666.718344, gap = 0.000000
iteration 34: residue = 0.000076, energy = 166666.718237 = 166666.718234, xb = 166666.718177, voltage energy = 166666.718121, gap = 0.000000
iteration 35: residue = 0.000066, energy = 166666.718237 = 166666.718234, xb = 166666.718170, voltage energy = 166666.718107, gap = 0.000000
iteration 36: residue = 0.000028, energy = 166666.718237 = 166666.718233, xb = 166666.718217, voltage energy = 166666.718201, gap = 0.000000
iteration 37: residue = 0.000016, energy = 166666.718237 = 166666.718233, xb = 166666.718215, voltage energy = 166666.718197, gap = 0.000000
iteration 38: residue = 0.000014, energy = 166666.718237 = 166666.718233, xb = 166666.718221, voltage energy = 166666.718209, gap = 0.000000
iteration 39: residue = 0.000013, energy = 166666.718237 = 166666.718233, xb = 166666.718227, voltage energy = 166666.718220, gap = 0.000000
iteration 40: residue = 0.000005, energy = 166666.718237 = 166666.718233, xb = 166666.718230, voltage energy = 166666.718227, gap = 0.000000
recursivelinesolver
iteration 0: residue = 281.118451, energy = 259826.325166 = 259826.325166, xb = 240997.235656, voltage energy = 427532.800094, gap = 205364.653947
iteration 1: residue = 177.882639, energy = 200530.375918 = 200530.375918, xb = 183379.400921, voltage energy = 230632.287836, gap = 64403.861913
iteration 2: residue = 109.188866, energy = 180144.279998 = 180144.279998, xb = 170350.506599, voltage energy = 184628.038056, gap = 24071.304856
iteration 3: residue = 68.706741, energy = 172270.402393 = 172270.402393, xb = 167445.145021, voltage energy = 172358.857911, gap = 9738.970261
iteration 4: residue = 44.014357, energy = 169046.668764 = 169046.668763, xb = 166815.171682, voltage energy = 168664.950485, gap = 4081.275885
iteration 5: residue = 28.322054, energy = 167675.937299 = 167675.937299, xb = 166708.701601, voltage energy = 167453.826855, gap = 1712.360952
iteration 6: residue = 18.639692, energy = 167107.901447 = 167107.901447, xb = 166690.356777, voltage energy = 167018.767960, gap = 745.955853
iteration 7: residue = 12.182698, energy = 166857.360564 = 166857.360564, xb = 166673.690916, voltage energy = 166811.241534, gap = 321.220266
iteration 8: residue = 7.732459, energy = 166745.331617 = 166745.331617, xb = 166664.153676, voltage energy = 166714.737380, gap = 131.761645
iteration 9: residue = 5.023117, energy = 166700.087980 = 166700.087979, xb = 166663.627705, voltage energy = 166682.900994, gap = 55.733563
iteration 10: residue = 3.405326, energy = 166681.948647 = 166681.948647, xb = 166663.533681, voltage energy = 166670.585051, gap = 25.466335
iteration 11: residue = 2.321467, energy = 166673.765336 = 166673.765336, xb = 166665.984426, voltage energy = 166670.010182, gap = 11.806666
iteration 12: residue = 1.392307, energy = 166669.350815 = 166669.350815, xb = 166665.888846, voltage energy = 166666.803996, gap = 4.377119
iteration 13: residue = 0.855370, energy = 166667.714130 = 166667.714130, xb = 166666.604888, voltage energy = 166667.144216, gap = 1.648569
iteration 14: residue = 0.543651, energy = 166667.124553 = 166667.124553, xb = 166667.164386, voltage energy = 166667.876801, gap = 0.672581
iteration 15: residue = 0.341158, energy = 166666.878548 = 166666.878548, xb = 166666.777923, voltage energy = 166666.942252, gap = 0.264954
iteration 16: residue = 0.233230, energy = 166666.790807 = 166666.790806, xb = 166666.836035, voltage energy = 166667.001894, gap = 0.120631
iteration 17: residue = 0.164570, energy = 166666.753190 = 166666.753189, xb = 166666.830892, voltage energy = 166666.966975, gap = 0.058380
iteration 18: residue = 0.120163, energy = 166666.736930 = 166666.736928, xb = 166666.703905, voltage energy = 166666.702457, gap = 0.031575
iteration 19: residue = 0.071034, energy = 166666.724851 = 166666.724849, xb = 166666.675183, voltage energy = 166666.636540, gap = 0.011022
iteration 20: residue = 0.043036, energy = 166666.720735 = 166666.720733, xb = 166666.733888, voltage energy = 166666.751217, gap = 0.004173
iteration 21: residue = 0.031487, energy = 166666.719516 = 166666.719513, xb = 166666.735909, voltage energy = 166666.754464, gap = 0.002159
iteration 22: residue = 0.014809, energy = 166666.718571 = 166666.718569, xb = 166666.726511, voltage energy = 166666.735005, gap = 0.000551
iteration 23: residue = 0.009835, energy = 166666.718373 = 166666.718370, xb = 166666.724878, voltage energy = 166666.731604, gap = 0.000219
iteration 24: residue = 0.004991, energy = 166666.718272 = 166666.718270, xb = 166666.719477, voltage energy = 166666.720743, gap = 0.000058
