linesolver
iteration 4: energy = 126045.602901 = 126045.602901, xb = 125933.998195, voltage energy = 125988.530750, gap = 166.137260
iteration 5: energy = 125933.003312 = 125933.003312, xb = 125897.905724, voltage energy = 125871.102165, gap = 8.294029
iteration 6: energy = 125926.634710 = 125926.634709, xb = 125938.642572, voltage energy = 125951.161691, gap = 0.511256
iteration 7: energy = 125926.253479 = 125926.253479, xb = 125927.454653, voltage energy = 125928.693789, gap = 0.037962
iteration 8: energy = 125926.224963 = 125926.224963, xb = 125924.519716, voltage energy = 125922.819234, gap = 0.004764
iteration 9: energy = 125926.222824 = 125926.222824, xb = 125926.284758, voltage energy = 125926.347209, gap = 0.000518
iteration 10: energy = 125926.222684 = 125926.222684, xb = 125926.230231, voltage energy = 125926.237789, gap = 0.000010
iteration 11: energy = 125926.222677 = 125926.222677, xb = 125926.223508, voltage energy = 125926.224340, gap = 0.000001
treesolver
iteration 1: energy = 770684.430013 = 770684.430013, xb = 122973.441090, voltage energy = 237044.528883, gap = 761782.076716
iteration 2: energy = 167973.311963 = 167973.311963, xb = 126291.021559, voltage energy = 133470.282525, gap = 48861.551371
iteration 3: energy = 128707.652555 = 128707.652554, xb = 125458.931715, voltage energy = 125610.018301, gap = 3399.807426
iteration 4: energy = 126045.602901 = 126045.602901, xb = 125933.998195, voltage energy = 125988.530750, gap = 166.137260
iteration 5: energy = 125933.003312 = 125933.003312, xb = 125897.905724, voltage energy = 125871.102165, gap = 8.294029
iteration 6: energy = 125926.634710 = 125926.634709, xb = 125938.642572, voltage energy = 125951.161691, gap = 0.511256
iteration 7: energy = 125926.253479 = 125926.253479, xb = 125927.454653, voltage energy = 125928.693789, gap = 0.037962
iteration 8: energy = 125926.224963 = 125926.224963, xb = 125924.519716, voltage energy = 125922.819234, gap = 0.004764
iteration 9: energy = 125926.222824 = 125926.222824, xb = 125926.284758, voltage energy = 125926.347209, gap = 0.000518
iteration 10: energy = 125926.222684 = 125926.222684, xb = 125926.230231, voltage energy = 125926.237789, gap = 0.000010
iteration 11: energy = 125926.222677 = 125926.222677, xb = 125926.223508, voltage energy = 125926.224340, gap = 0.000001
treesolver
iteration 1: energy = 770684.430013 = 770684.430013, xb = 122973.441090, voltage energy = 237044.528883, gap = 761782.076716
iteration 2: energy = 167973.311963 = 167973.311963, xb = 126291.021559, voltage energy = 133470.282525, gap = 48861.551371
iteration 3: energy = 128707.652555 = 128707.652554, xb = 125458.931715, voltage energy = 125610.018301, gap = 3399.807426
iteration 4: energy = 126045.602901 = 126045.602901, xb = 125933.998195, voltage energy = 125988.530750, gap = 166.137260
iteration 5: energy = 125933.003312 = 125933.003312, xb = 125897.905724, voltage energy = 125871.102165, gap = 8.294029
iteration 6: energy = 125926.634710 = 125926.634709, xb = 125938.642572, voltage energy = 125951.161691, gap = 0.511256
iteration 7: energy = 125926.253479 = 125926.253479, xb = 125927.454653, voltage energy = 125928.693789, gap = 0.037962
iteration 8: energy = 125926.224963 = 125926.224963, xb = 125924.519716, voltage energy = 125922.819234, gap = 0.004764
iteration 9: energy = 125926.222824 = 125926.222824, xb = 125926.284758, voltage energy = 125926.347209, gap = 0.000518
iteration 10: energy = 125926.222684 = 125926.222684, xb = 125926.230231, voltage energy = 125926.237789, gap = 0.000010
iteration 11: energy = 125926.222677 = 125926.222677, xb = 125926.223508, voltage energy = 125926.224340, gap = 0.000001
treesolver
iteration 1: energy = 770684.430013 = 770684.430013, xb = 122973.441090, voltage energy = 237044.528883, gap = 761782.076716
iteration 2: energy = 167973.311963 = 167973.311963, xb = 126291.021559, voltage energy = 133470.282525, gap = 48861.551371
iteration 3: energy = 128707.652555 = 128707.652554, xb = 125458.931715, voltage energy = 125610.018301, gap = 3399.807426
iteration 4: energy = 126045.602901 = 126045.602901, xb = 125933.998195, voltage energy = 125988.530750, gap = 166.137260
iteration 5: energy = 125933.003312 = 125933.003312, xb = 125897.905724, voltage energy = 125871.102165, gap = 8.294029
iteration 6: energy = 125926.634710 = 125926.634709, xb = 125938.642572, voltage energy = 125951.161691, gap = 0.511256
iteration 7: energy = 125926.253479 = 125926.253479, xb = 125927.454653, voltage energy = 125928.693789, gap = 0.037962
iteration 8: energy = 125926.224963 = 125926.224963, xb = 125924.519716, voltage energy = 125922.819234, gap = 0.004764
iteration 9: energy = 125926.222824 = 125926.222824, xb = 125926.284758, voltage energy = 125926.347209, gap = 0.000518
iteration 10: energy = 125926.222684 = 125926.222684, xb = 125926.230231, voltage energy = 125926.237789, gap = 0.000010
iteration 11: energy = 125926.222677 = 125926.222677, xb = 125926.223508, voltage energy = 125926.224340, gap = 0.000001
treesolver
iteration 1: energy = 770684.430013 = 770684.430013, xb = 122973.441090, voltage energy = 237044.528883, gap = 761782.076716
iteration 2: energy = 167973.311963 = 167973.311963, xb = 126291.021559, voltage energy = 133470.282525, gap = 48861.551371
iteration 3: energy = 128707.652555 = 128707.652554, xb = 125458.931715, voltage energy = 125610.018301, gap = 3399.807426
iteration 4: energy = 126045.602901 = 126045.602901, xb = 125933.998195, voltage energy = 125988.530750, gap = 166.137260
iteration 5: energy = 125933.003312 = 125933.003312, xb = 125897.905724, voltage energy = 125871.102165, gap = 8.294029
iteration 6: energy = 125926.634710 = 125926.634709, xb = 125938.642572, voltage energy = 125951.161691, gap = 0.511256
iteration 7: energy = 125926.253479 = 125926.253479, xb = 125927.454653, voltage energy = 125928.693789, gap = 0.037962
iteration 8: energy = 125926.224963 = 125926.224963, xb = 125924.519716, voltage energy = 125922.819234, gap = 0.004764
iteration 9: energy = 125926.222824 = 125926.222824, xb = 125926.284758, voltage energy = 125926.347209, gap = 0.000518
iteration 10: energy = 125926.222684 = 125926.222684, xb = 125926.230231, voltage energy = 125926.237789, gap = 0.000010
iteration 11: energy = 125926.222677 = 125926.222677, xb = 125926.223508, voltage energy = 125926.224340, gap = 0.000001
treesolver
iteration 1: energy = 770684.430013 = 770684.430013, xb = 122973.441090, voltage energy = 237044.528883, gap = 761782.076716
iteration 2: energy = 167973.311963 = 167973.311963, xb = 126291.021559, voltage energy = 133470.282525, gap = 48861.551371
iteration 3: energy = 128707.652555 = 128707.652554, xb = 125458.931715, voltage energy = 125610.018301, gap = 3399.807426
iteration 4: energy = 126045.602901 = 126045.602901, xb = 125933.998195, voltage energy = 125988.530750, gap = 166.137260
iteration 5: energy = 125933.003312 = 125933.003312, xb = 125897.905724, voltage energy = 125871.102165, gap = 8.294029
iteration 6: energy = 125926.634710 = 125926.634709, xb = 125938.642572, voltage energy = 125951.161691, gap = 0.511256
iteration 7: energy = 125926.253479 = 125926.253479, xb = 125927.454653, voltage energy = 125928.693789, gap = 0.037962
iteration 8: energy = 125926.224963 = 125926.224963, xb = 125924.519716, voltage energy = 125922.819234, gap = 0.004764
iteration 9: energy = 125926.222824 = 125926.222824, xb = 125926.284758, voltage energy = 125926.347209, gap = 0.000518
iteration 10: energy = 125926.222684 = 125926.222684, xb = 125926.230231, voltage energy = 125926.237789, gap = 0.000010
iteration 11: energy = 125926.222677 = 125926.222677, xb = 125926.223508, voltage energy = 125926.224340, gap = 0.000001
treesolver
iteration 1: energy = 770684.430013 = 770684.430013, xb = 122973.441090, voltage energy = 237044.528883, gap = 761782.076716
iteration 2: energy = 167973.311963 = 167973.311963, xb = 126291.021559, voltage energy = 133470.282525, gap = 48861.551371
iteration 3: energy = 128707.652555 = 128707.652554, xb = 125458.931715, voltage energy = 125610.018301, gap = 3399.807426
iteration 4: energy = 126045.602901 = 126045.602901, xb = 125933.998195, voltage energy = 125988.530750, gap = 166.137260
iteration 5: energy = 125933.003312 = 125933.003312, xb = 125897.905724, voltage energy = 125871.102165, gap = 8.294029
iteration 6: energy = 125926.634710 = 125926.634709, xb = 125938.642572, voltage energy = 125951.161691, gap = 0.511256
iteration 7: energy = 125926.253479 = 125926.253479, xb = 125927.454653, voltage energy = 125928.693789, gap = 0.037962
iteration 8: energy = 125926.224963 = 125926.224963, xb = 125924.519716, voltage energy = 125922.819234, gap = 0.004764
iteration 9: energy = 125926.222824 = 125926.222824, xb = 125926.284758, voltage energy = 125926.347209, gap = 0.000518
iteration 10: energy = 125926.222684 = 125926.222684, xb = 125926.230231, voltage energy = 125926.237789, gap = 0.000010
iteration 11: energy = 125926.222677 = 125926.222677, xb = 125926.223508, voltage energy = 125926.224340, gap = 0.000001
recursivelinesolver
iteration 0: residue = 7.429619, energy = 4417420.259817 = 4417420.259817, xb = 132869.443227, voltage energy = 1476690.671507, gap = 5628372.044870
